Date  ,Season  ,Composer: Work,Soloist / Instrument,Conductor  ,Orchestra  ,Venue  ,City
,,"Richard Wagner :  Meistersinger: Act III: Homage to Hans Sachs, ""Wach auf""",,,,,
2/17/1882,1881-82 Symphony Season,"Ludwig van Beethoven :  Leonore Overture No. 1, Op. 138",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Johannes Brahms :  Rhapsody (for alto, male chorus, and orchestra), Op. 53 (Alto Rhapsody)",(Miss) Mary H. How / Contralto,,,,
,,"Ludwig van Beethoven :  Symphony No. 8 in F major, Op. 93",,,,,
,,"Felix Mendelssohn :  Concerto for Violin in E minor, Op. 64",Alfred de Sève / Violin,,,,
,,Jules Massenet :  Phèdre: Overture,,,,,
2/18/1882,1881-82 Symphony Season,"Ludwig van Beethoven :  Leonore Overture No. 1, Op. 138",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Johannes Brahms :  Rhapsody (for alto, male chorus, and orchestra), Op. 53 (Alto Rhapsody)",(Miss) Mary H. How / Contralto,,,,
,,"Ludwig van Beethoven :  Symphony No. 8 in F major, Op. 93",,,,,
,,"Felix Mendelssohn :  Concerto for Violin in E minor, Op. 64",Alfred de Sève / Violin,,,,
,,Jules Massenet :  Phèdre: Overture,,,,,
2/24/1882,1881-82 Symphony Season,"Robert Schumann :  Manfred, Op. 115: Overture",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Camille Saint-Saëns :  Concerto for Piano No. 4 in C minor, Op. 44",Madeline Schiller / Piano,,,,
,,"Johannes Brahms :  Symphony No. 2 in D major, Op. 73",,,,,
,,"Frédéric Chopin :  Ballade No. 3 in A-flat major for piano solo, Op. 47",Madeline Schiller / Piano,,,,
